,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
1246,Alice Schertle,Picture Book,"Cars and Trucks, Friendship, Great Boy Role Models, Great Girl Role Models, Horses and Farm Animals",Fiction,HMH Books for Young Readers,"May 1, 2008",4 - 7,32,"Nook, Hardback, iBooks, Kindle","February 10, 2020",Jill McElmurry,,,,,
1247,Ben Guterson,Mystery,"Magic and Fantasy, Friendship, Holidays, Monsters, Ghosts, and Vampires, Science and Nature",Fiction,Henry Holt,"December 31, 2018",9 - 12,384,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 20, 2019",Chloe Bristol,,,,,
1248,Laurel Snyder,For Beginning Readers,"Brothers and Sisters, Friendship",Fiction,Chronicle Books,"April 11, 2017",4 - 8,48,"Nook, Hardback, iBooks, Kindle","February 10, 2020",Emily Hughes,,,,ALA Best and Notable Books,
1249,Katherine Applegate,Contemporary Fiction,"Friendship, Science and Nature, Wild Animals",Fiction,Feiwel and Friends,"September 26, 2017",,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Charles Santoso,,,,,
1250,Alex Lidell,Fantasy,"Magic and Fantasy, Sports and Martial Arts, Adventures, Great Girl Role Models, Misfits and Underdogs",Fiction,Dial Books,"January 10, 2013",12 - 17,304,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
1251,Katrina Leno,Coming of Age,"Adventures, Friendship, High School",Fiction,HarperTeen,"July 5, 2016",,352,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1252,Louise O'Neill,Contemporary Fiction,"Friendship, High School, Misfits and Underdogs",Fiction,Quercus,"April 5, 2016",12 - 18,336,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1253,Lucienne Diver,Humor,,Fiction,Flux,"May 1, 2009",,240,,"June 19, 2019",,,,,,
1254,Christine Riccio,Romance,"Magic and Fantasy, Book Characters, Friendship",Fiction,Wednesday Books,"May 7, 2019",,377,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 04, 2019",,,,,,
1255,Jeff Kinney,Humor,"Superheroes, Adventures, Friendship, Middle School, Misfits and Underdogs",Fiction,Amulet Books,"April 9, 2019",9 - 12,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 15, 2019",Jeff Kinney,,,,,
1256,Katherine Marsh,Fantasy,"Magic and Fantasy, Book Characters, Fairy Tales, Friendship, Horses and Farm Animals, Misfits and Underdogs",Fiction,Disney-Hyperion,"January 5, 2016",8 - 12,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","March 22, 2019",Kelly Murphy,,,,,
1257,Jessica Park,Coming of Age,Misfits and Underdogs,Fiction,Skyscape,"July 16, 2013",,416,"Paperback, Kindle","September 21, 2015",,,,,,
1258,Sharon Creech,Coming of Age,Friendship,Fiction,HarperCollins Publishers,"June 30, 1994",8 - 12,288,"Paperback, Nook, Audiobook (unabridged), Audiobook (abridged), Hardback, iBooks, Kindle","October 02, 2019",,,,,Newbery Medal and Honors,
1259,Norton Juster,Learning,,Fiction,Yearling Books,"August 12, 1961",9 - 12,272,,"January 31, 2020",Jules Feiffer,,,,,
1260,C.S. Lewis,Fantasy,,Fiction,HarperTrophy,"October 15, 1951",10 - 14,238,,"July 22, 2019",Pauline Baynes,,,,,
1261,Mike Lupica,Sports,,Fiction,Philomel,"November 3, 2009",10 - 14,256,,"January 10, 2020",,,,,,
1262,David Klass,Science Fiction,,Fiction,"Farrar, Straus and Giroux","April 16, 2010",11 - 14,224,,"July 13, 2017",,,,,,
1263,,Picture Book,"Ocean Creatures, Science and Nature, Wild Animals",Fiction,Houghton Mifflin Harcourt,"September 3, 2007",4 - 7,24,"Paperback, Nook, Hardback, iBooks, Kindle","March 04, 2020",Anna Grossnickle Hines,"H. A. Rey, Margret Rey",,,,
1264,Trinka Hakes Noble,Humor,,Fiction,Penguin Group,"January 1, 1980",2 - 4,32,,"July 12, 2017",Steven Kellogg,,,,,
1265,Jacky Davis,Picture Book,"Magic and Fantasy, Adventures, Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,Dial Books,"May 1, 2012",3 - 5,40,"Paperback, Nook, Hardback, iBooks","June 19, 2019",David Soman,,,,,
1266,Brad Meltzer,Biography,"Activism, Brothers and Sisters, Great Boy Role Models, History, Misfits and Underdogs",Non-Fiction,Dial Books for Young Readers,"January 5, 2016",5 - 8,40,"Hardback, Kindle","June 19, 2019",Christopher Eliopoulos,,,,,
1267,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"January 1, 1988",4 - 7,40,,"July 12, 2017",James Stevenson,,,,,
1268,Cynthia Voigt,Contemporary Fiction,,Fiction,Atheneum,"January 1, 1981",9 - 12,388,,"July 12, 2017",,,,,,
1269,Brittney Ryan,Holiday,,Fiction,HarperCollins Children's Books,"October 1, 2006",9,544,,"July 12, 2017",Laurel Long,,,,,
1270,Tim Green,Sports,Sports and Martial Arts,Fiction,HarperCollins Children's Books,"March 22, 2011",,272,"Paperback, Audiobook (unabridged), Hardback, Kindle","December 04, 2019",,,,,,
1271,H. Chuka Lee,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Fairy Tales, Great Girl Role Models",Fiction,HarperCollins Publishers,"February 11, 2014",4 - 8,32,Hardback,"June 20, 2019",Pat Cummings,,,,,
1272,Fred Gwynne,Words,,Non-Fiction,Simon & Schuster,"January 1, 2000",4 - 7,40,,"July 12, 2017",Fred Gwynne,,,,,
1273,Lisa McMann,Fantasy,"Magic and Fantasy, Adventures",Fiction,Aladdin,"August 30, 2011",,400,,"June 20, 2019",,,,,,
1274,Ellis Weiner,Humor,"STEM, Adventures, Brothers and Sisters, Science and Nature",Fiction,Chronicle Books,"August 15, 2012",9 - 12,232,Hardback,"June 19, 2019",Jeremy Holmes,,,,,
1275,Jeff Giles,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models",Fiction,Bloomsbury USA,"July 10, 2018",14 - 17,352,"Nook, Hardback, Kindle","June 19, 2019",,,,,,
1276,Lauren Kate,Romance,Magic and Fantasy,Fiction,Delacorte Press,"June 12, 2012",12 - 17,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1277,Josephine Poole,History,,Non-Fiction,,"January 1, 1998",9 - 12,31,,"July 12, 2017",Angela Barrett,,,,,
1278,Morgan Parker,Coming of Age,"Activism, Brothers and Sisters, Friendship, High School, Misfits and Underdogs",Fiction,Delacorte Press,"October 26, 2019",14 - 18,336,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 26, 2020",,,,,,
1279,,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Albert Whitman & Co.,"March 1, 2014",4 - 8,32,"Hardback, iBooks, Kindle","June 19, 2019",Chris Case,"Sarah Hoffman, Ian Hoffman",,,,
1280,Thomas Lennon,Fantasy,"Magic and Fantasy, Adventures, Friendship, Misfits and Underdogs",Fiction,Harry N. Abrams,"March 5, 2019",10 - 14,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","April 15, 2019",John Hendrix,,,,,
1281,Rick Riordan,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Monsters, Ghosts, and Vampires",Fiction,Disney-Hyperion,"April 5, 2016",8 - 12,224,"Hardback, iBooks","December 20, 2019",Antonio Caparo,,,,,
1282,Lucy Strange,Historical Fiction,"Book Characters, Brothers and Sisters, Great Girl Role Models, History",Fiction,Chicken House,"October 31, 2017",8 - 12,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1283,Catherine Jinks,Fantasy,"Magic and Fantasy, Adventures, History, Monsters, Ghosts, and Vampires",Fiction,Houghton Mifflin Harcourt,"January 6, 2015",9 - 12,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Sarah Watts,,,,,
1284,Maya Motayne,Fantasy,"Magic and Fantasy, Adventures, Monsters, Ghosts, and Vampires",Fiction,Balzer + Bray,"May 7, 2019",13 - 17,480,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 12, 2019",,,,,,
1285,Jerry Spinelli,School,,Fiction,Alfred A. Knopf,"September 7, 2003",12 - 17,186,,"July 12, 2017",,,,,,
1286,E.B. White,Fantasy,"Adventures, Cats, Dogs, and Mice, Friendship, Great Boy Role Models, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"January 1, 1945",9 - 12,131,,"July 19, 2019",Garth Williams,,,,,
1287,Sarah Dessen,Romance,"Friendship, Great Girl Role Models",Fiction,Viking Books for Young Readers,"June 6, 2017",,368,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1288,Patrick McDonnell,Picture Book,,Fiction,"Little, Brown and Company","October 1, 2007",4 - 7,48,,"July 12, 2017",Patrick McDonnell,,,,,
1289,Pamela S. Turner,Picture Book,,Fiction,Houghton Mifflin Children's Books,"November 29, 2004",,32,,"July 15, 2015",Yan Nascimbene,,,,,
1290,,Science Fiction,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, Space and Aliens",Fiction,Disney-Hyperion,"January 9, 2018",14 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,"Meagan Spooner, Amie Kaufman",,,,
1291,Scott Westerfeld,Science Fiction,"Friendship, Misfits and Underdogs, Science and Nature",Fiction,Simon & Schuster,"June 26, 2006",,425,,"July 15, 2015",,,,,,
1292,Marjorie Agosin,Historical Fiction,"Friendship, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Atheneum,"March 4, 2014",10 - 14,454,"Paperback, Nook, Hardback, iBooks, Kindle","February 10, 2020",Lee White,,,,ALA Best and Notable Books,
1293,Karen Gravelle,Body Awareness,"Friendship, Great Girl Role Models, Middle School",Non-Fiction,Bloomsbury USA,"June 20, 2017",8 - 12,144,Paperback,"June 19, 2019",Debbie Palen,,,,,
1294,Suzanne Francis,Adventure,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship, Science and Nature",Fiction,Random House Children's Books,"July 5, 2016",8 - 12,224,"Nook, Hardback, iBooks, Kindle","November 15, 2019",,,,,,
1295,Kathryn Littlewood,Fantasy,Magic and Fantasy,Fiction,Katherine Tegen Books,"February 14, 2012",8 - 12,374,,"July 13, 2017",,,,,,
1296,Gene Luen Yang,Graphic Novel,"Sports and Martial Arts, Friendship, Great Girl Role Models, Middle School, Robots, Science and Nature",Fiction,First Second,"March 7, 2017",8 - 12,112,"Paperback, Nook, iBooks, Kindle","June 22, 2019",Mike Holmes,,,,,
1297,Adam Rex,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Superheroes, Adventures, Brothers and Sisters, Fairy Tales, Great Boy Role Models, Great Girl Role Models",Fiction,Balzer + Bray,"February 5, 2013",8 - 12,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Adam Rex,,,,,
1298,Faith Erin Hicks,Friendship,"Brothers and Sisters, Misfits and Underdogs",Fiction,First Second,"February 28, 2012",,224,,"November 04, 2019",,,,,,
1299,Deborah Wiles,Literary Fiction,,Fiction,Harcourt Brace,"August 1, 2007",,242,,"June 19, 2019",,,,,,
1300,Jack Gantos,Coming of Age,"Book Characters, Great Boy Role Models, Misfits and Underdogs",Fiction,"Farrar, Straus and Giroux","September 2, 2014",10 - 14,160,"Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,,,,,
1301,E. K. Johnston,Fantasy,"Magic and Fantasy, Friendship, Great Boy Role Models, Great Girl Role Models, High School",Fiction,Carolrhoda LAB,"March 1, 2014",11 - 15,312,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
1302,,Adventure,"Adventures, Friendship, Science and Nature",Fiction,Penguin Group,"February 7, 2013",8 - 12,192,"Paperback, Nook, iBooks, Kindle","June 19, 2019",,"Jeff Probst, Chris Tebbetts",,,,
1303,Shelley Pearsall,School,,Fiction,"Little, Brown and Company","September 6, 2006",,256,,"September 22, 2015",,,,,ALA Best and Notable Books,
1304,Eoin Colfer,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship, Ocean Creatures, Wild Animals",Fiction,Disney-Hyperion,"July 16, 2008",10 - 12,448,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1305,Brian Selznick,Historical Fiction,,Fiction,Atheneum,"January 1, 1991",7 - 10,74,,"June 19, 2019",Brian Selznick,,,,,
1306,Clement Clarke Moore,Holiday,,Fiction,Accord Publishing,"September 15, 2009",,26,,"October 08, 2015",Jon Goodell,,,,,
1307,Alan Armstrong,Historical Fiction,,Fiction,Random House,"January 29, 2006",,191,,"August 11, 2015",S. D. Schindler,,,,Newbery Medal and Honors,
1308,Maurice Sendak,Fantasy,,Fiction,HarperCollins Children's Books,"January 1, 1970",2 - 4,32,,"July 12, 2017",Maurice Sendak,,,,,
1309,Sharon Cameron,Historical Fiction,"Adventures, Friendship, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Scholastic Press,"September 1, 2012",12 - 17,336,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1310,Richelle Mead,Science Fiction,Friendship,Fiction,Dutton Books,"June 4, 2013",,464,"Nook, Hardback, iBooks, Kindle","September 22, 2015",,,,,,
1311,John Corey Whaley,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,Dial Books,"May 10, 2016",,256,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1312,Sangu Mandanna,Science Fiction,"Magic and Fantasy, Friendship, Great Boy Role Models, Great Girl Role Models, High School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Balzer + Bray,"August 28, 2012",13 - 18,432,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1313,Peggy Parish,For Beginning Readers,,Fiction,HarperCollins Children's Books,"December 31, 1969",4 - 7,64,,"November 15, 2019",Fritz Siebel,,,,,
1314,Kadir Nelson,History,"Activism, Great Boy Role Models, History, Holidays, Misfits and Underdogs",Non-Fiction,Schwartz & Wade,"October 12, 2012",5 - 10,40,"Nook, Hardback, iBooks, Kindle","March 29, 2019",,,,,Coretta Scott King Medal and Honors,
1315,Andrew Clements,Contemporary Fiction,,Fiction,Penguin Group,"November 20, 2006",,167,,"July 15, 2015",,,,,,
1316,Jules Verne,Science Fiction,"Adventures, History, Ocean Creatures, Science and Nature, Wild Animals",Fiction,Grosset & Dunlap,"October 15, 1996",9 - 17,432,,"June 19, 2019",Stephen Armes,,,,,
1317,John Corey Whaley,Coming of Age,Friendship,Fiction,Atheneum,"May 3, 2011",,240,,"September 22, 2015",,,,,ALA Best and Notable Books,
1318,Grace Lin,Fantasy,"Magic and Fantasy, Adventures, Fairy Tales, Friendship, Great Girl Role Models",Fiction,"Little, Brown and Company","October 4, 2016",9 - 12,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Grace Lin,,,,,
1319,James Dashner,Science Fiction,Magic and Fantasy,Fiction,Delacorte Press,"October 11, 2011",,384,,"June 20, 2019",,,,,,
1320,Gordon Korman,Fantasy,"Magic and Fantasy, Adventures, Friendship, Great Boy Role Models",Fiction,Scholastic Inc.,"August 1, 2013",8 - 12,232,"Nook, Audiobook (unabridged), Hardback, Kindle","July 13, 2017",,,,,,
1321,Vikki Wakefield,Literary Fiction,Misfits and Underdogs,Fiction,Simon & Schuster,"September 10, 2013",14 - 18,336,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
1322,Garth Nix,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Monsters, Ghosts, and Vampires",Fiction,Harper,"October 14, 2014",12 - 17,400,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1323,Jeanne DuPrau,Science Fiction,,Fiction,Random House,"July 18, 2004",,338,,"September 22, 2015",,,,,,
1324,Eric A. Kimmel,Holiday,,Fiction,Disney-Hyperion,"September 2, 2014",3 - 5,40,Hardback,"July 13, 2017",Matthew Trueman,,,,,
1325,Leila Sales,Fantasy,"Adventures, Friendship, Great Girl Role Models, Middle School",Fiction,Chronicle Books,"April 5, 2016",10 - 13,272,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1326,Josh Funk,Picture Book,"STEM, Great Girl Role Models",Fiction,Viking Books for Young Readers,"September 24, 2019",4 - 8,44,"Hardback, Kindle","November 04, 2019",Sara Palacios,,,,,
1327,L. J. Smith,Fantasy,,Fiction,Simon Pulse,"September 8, 2009",12 - 17,752,,"June 19, 2019",,,,,,
1328,Henry H. Neff,Fantasy,,Fiction,Random House,"September 1, 2007",,414,,"June 20, 2019",Henry H. Neff,,,,,
1329,Franny Billingsley,Fantasy,Magic and Fantasy,Fiction,Dial Books,"March 17, 2011",12,368,,"July 13, 2017",,,,,,
1330,Rick Riordan,Fantasy,"Superheroes, Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Ocean Creatures",Fiction,Disney-Hyperion,"October 7, 2014",10 - 14,528,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 20, 2019",,,,,,
1331,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"January 1, 1973",4 - 7,48,,"July 12, 2017",Dr. Seuss,,,,,
1332,Margarita Engle,Historical Fiction,"Book Characters, Brothers and Sisters, History, Misfits and Underdogs",Fiction,Atheneum,"May 8, 2018",12 - 18,192,"Nook, Hardback, iBooks, Kindle","July 18, 2018",Rudy Gutierrez,,,,,
1333,Paul Durham,Fantasy,"Magic and Fantasy, Friendship, History, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Crown Books for Young Readers,"January 9, 2018",8 - 12,288,"Nook, Hardback, iBooks, Kindle","March 14, 2018",,,,,,
1334,Julie C. Dao,Fantasy,"Magic and Fantasy, Adventures, Great Boy Role Models, Great Girl Role Models",Fiction,Philomel,"November 5, 2019",12 - 17,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 29, 2019",,,,,,
1335,Kevin Brooks,Mystery,,Fiction,Chicken House,"July 1, 2008",14,488,,"July 13, 2017",,,,,,
1336,,Biography,"Sports and Martial Arts, Adventures, Arts and Dance, Great Girl Role Models, Misfits and Underdogs, Science and Nature",Non-Fiction,"Timbuktu Labs, Inc.","December 10, 2016",5 - 8,224,"Hardback, iBooks, Kindle","August 05, 2019",,"Elena Favilli, Francesca Cavallo",,,,
1337,Connor Franta,Autobiography,"Friendship, Misfits and Underdogs",Non-Fiction,Keywords Press,"April 18, 2017",,320,"Nook, Audiobook (unabridged), iBooks, Kindle","May 04, 2017",,,,,,
1338,Norah Olson,Horror,"Magic and Fantasy, Great Girl Role Models, History, Monsters, Ghosts, and Vampires",Fiction,Katherine Tegen Books,"July 26, 2016",14 - 18,320,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1339,Jory John,Picture Book,"Adventures, Friendship, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"February 12, 2019",4 - 8,40,"Hardback, iBooks, Kindle","June 19, 2019",Pete Oswald,,,,,
1340,,Coming of Age,"Adventures, Brothers and Sisters, Middle School",Fiction,jimmy patterson imprint,"March 21, 2016",9 - 12,384,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Kerascoët,"James Patterson, Chris Grabenstein",,,,
1341,Rick Riordan,Fantasy,"Magic and Fantasy, Superheroes, Friendship, Monsters, Ghosts, and Vampires",Fiction,Disney-Hyperion,"October 8, 2013",10 - 17,608,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 20, 2019",,,,,,
1342,Cari Best,Family Life,,Fiction,DK Publishing Inc.,"January 1, 1999",4 - 7,28,,"July 12, 2017",Giselle Potter,,,,,
1343,Elizabeth Singer Hunt,Adventure,"Magic and Fantasy, Adventures, Great Boy Role Models, Science and Nature",Fiction,Weinstein Books,"September 4, 2007",6 - 9,110,"Paperback, Audiobook (unabridged), Kindle","February 13, 2020",Brian Williamson,,,,,
1344,Jacqueline West,Fantasy,"Magic and Fantasy, Friendship, Great Girl Role Models, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Dial Books,"August 16, 2013",10 - 17,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1345,Patricia Reilly Giff,Mystery,"Friendship, Great Boy Role Models, Great Girl Role Models, Misfits and Underdogs",Fiction,Random House,"January 1, 2008",,164,,"July 12, 2016",,,,,,
1346,Beverly Cleary,Family Life,Brothers and Sisters,Fiction,HarperCollins Children's Books,"April 11, 2006",9 - 12,176,,"July 12, 2017",,,,,,"Arthur Dorros, Tracy Dockray"
1347,Lewis Buzbee,Historical Fiction,"Magic and Fantasy, History",Fiction,Feiwel and Friends,"May 22, 2012",10 - 14,304,,"June 19, 2019",,,,,,
1348,Anne Rockwell,Science,,Non-Fiction,Harcourt Brace,"September 1, 1998",,24,,"November 15, 2019",Anne Rockwell,,,,,
